Category,Service / Page Name,Official URL / Link,Status,Purpose & Description
"Official App Download (APK)","GitHub Latest Release APK (Direct)","https://github.com/tyresathi-sudo/tyresaathi/releases/latest/download/TyreSaathi.apk","Active (Direct Download)","Direct official Android signed APK download link for WhatsApp sharing & app updates"
"App Release Console","GitHub Releases Hub","https://github.com/tyresathi-sudo/tyresaathi/releases","Active","All official version tags, release notes and compiled APK packages"
"Source Code Repository","GitHub Main Repository","https://github.com/tyresathi-sudo/tyresaathi","Active","Complete source code, Android Capacitor app and React codebase"
"CI/CD & APK Build","GitHub Actions Workflow","https://github.com/tyresathi-sudo/tyresaathi/actions","Automated","Auto-compiles release signed APKs using permanent keystore on every git push"
"App Store Listing","Uptodown Developer Portal","https://developers.uptodown.com/","In Review","Official Uptodown release console for TyreSaathi APK"
"Live Web Application (PWA)","Firebase Web App Production","https://tyresathi-93306.web.app","Live PWA","Primary production domain hosted on Google Cloud Firebase"
"Secondary Web Domain","Firebase Mirror Domain","https://tyresaathi-sudo.web.app","Live","Alternative live mirror domain for TyreSaathi web app"
"Cloud Database & Auth","Firebase Cloud Console","https://console.firebase.google.com/project/tyresathi-93306/overview","Connected","Firestore database, user authentication & cloud storage"
"Firestore Database","Firestore Live Database Collections","https://console.firebase.google.com/project/tyresathi-93306/firestore","Cloud Sync","Real-time collections: users, bookings, invoices, notifications, app_settings, tickets, shop_ads"
"App Core Screen","Home Dashboard","https://tyresathi-93306.web.app/","Production","Quick services, roadside SOS help, shop promotions, live ads slider"
"GPS & Maps","Nearest Tyre Shops & Live Radar Locator","https://tyresathi-93306.web.app/shops","Production","Nearest verified tyre stores finder with turn-by-turn Google Maps directions"
"Star Ratings & Reviews","Store Customer Ratings & Feedback","https://tyresathi-93306.web.app/shops","Production","Real-time 1-5 star rating picker with instant shop owner live notification alert"
"Notification System","In-App Real-Time Notification Bell","https://tyresathi-93306.web.app/","Production","Live header notification bell with unread badge counter and floating toast alerts"
"Catalogue & Search","Tyre Search & Compatibility Guide","https://tyresathi-93306.web.app/search","Production","Search tyres by vehicle category (Car, Bike, Truck, Tractor, EV) and tyre size"
"Camera AI Tool","Tyre Condition & Tread Inspection","https://tyresathi-93306.web.app/inspection","Production","Camera tyre health scanner, tread depth calculator and safety report"
"Service Management","Service Bookings & Appointments","https://tyresathi-93306.web.app/bookings","Production","Schedule tyre change, puncture repair, alignment with real-time status alerts"
"B2B Shop Billing","Digital Invoicing & GST Tax Bill Generator","https://tyresathi-93306.web.app/billing","Production","Create GST & non-GST tax bills, calculate discounts, share via WhatsApp/PDF"
"Shop Owner Analytics","Private Shop Analytics & Traffic","https://tyresathi-93306.web.app/shop-analytics","Production","Track store views, directions requested, phone leads and customer booking metrics"
"Monetization & Plans","Dealer Subscription Plans & Pricing","https://tyresathi-93306.web.app/subscription","Production","Free launch, Silver partner and Gold dealer subscription plans"
"Master Control","Admin Super Dashboard","https://tyresathi-93306.web.app/admin","Protected (Admin)","Manage all shops, users, billing records, tickets, live analytics & Excel export"
"Version & Alerts Controller","App Updates & Broadcast Notifications","https://tyresathi-93306.web.app/admin","Protected (Admin)","Release new app versions, configure skip/mandatory update, send push broadcasts"
"Bank & UPI Setup","Admin Bank Account & UPI QR Hub","https://tyresathi-93306.web.app/admin","Protected (Admin)","Configure primary UPI ID, auto-generate QR codes and direct bank transfer details"
"Customer Helpdesk","Support & Grievance Tickets","https://tyresathi-93306.web.app/support","Production","Raise complaints, track ticket progress and receive admin resolution replies"
"Settings & Preferences","App Preferences & Notification Toggles","https://tyresathi-93306.web.app/settings","Production","Manage shop profile, Star alert toggles, App update check, Dark/Light mode"
"External Integration","Google Sheets Realtime Sync","https://tyresathi-93306.web.app/settings","Active","Google Apps Script Web App sync for customer registrations and bookings"
"Legal & Compliance","Terms of Service & Privacy Policy","https://tyresathi-93306.web.app/terms","Production","Play Store compliance, user data policy, terms of service and account deletion"
