Category,Service / Page Name,Official URL / Link,Status,Purpose & Description
"App Store Listing","Uptodown Developer Portal","https://developers.uptodown.com/","In Review","Official Uptodown release console for TyreSaathi APK"
"Source Code Repository","GitHub Main Repository","https://github.com/tyresathi-sudo/tyresaathi","Active","Complete source code, Android Capacitor app and React codebase"
"CI/CD & APK Build","GitHub Actions Workflow","https://github.com/tyresathi-sudo/tyresaathi/actions","Automated","Auto-compiles release & debug signed APKs on every git push"
"Live Web Application","Firebase Web App","https://tyresaathi-sudo.web.app","Live PWA","Production Web & Mobile Web App accessible on any browser"
"Secondary Web Mirror","Firebase App Domain","https://tyresaathi-sudo.firebaseapp.com","Live","Alternative production domain hosted on Google Cloud"
"Cloud Database & Auth","Firebase Cloud Console","https://console.firebase.google.com/project/tyresaathi-sudo/overview","Connected","Firestore database, user authentication & cloud storage"
"Firestore Database","Firestore Live Database","https://console.firebase.google.com/project/tyresaathi-sudo/firestore","Cloud Sync","Real-time collections: users, bookings, invoices, tickets, ads"
"App Core Screen","Home Dashboard","https://tyresaathi-sudo.web.app/","Production","Quick services, SOS roadside help, tyre brands & actions"
"GPS & Maps","Nearby Tyre Shops Locator","https://tyresaathi-sudo.web.app/shops","Production","Real-time GPS shop search, puncture hubs, alignments"
"Catalogue & Search","Tyre Search & Compatibility","https://tyresaathi-sudo.web.app/search","Production","Search tyres by vehicle type (Car, Bike, Truck, Tractor, EV)"
"Camera AI Tool","Tyre Health Inspection","https://tyresaathi-sudo.web.app/inspection","Production","Camera tyre condition scanner, tread depth & wear report"
"Service Management","Bookings & Appointments","https://tyresaathi-sudo.web.app/bookings","Production","Tyre change, puncture, wheel alignment appointment scheduling"
"B2B Shop Billing","Digital Invoicing & GST Bill","https://tyresaathi-sudo.web.app/billing","Production","Generate tax bills, calculate discounts, share via WhatsApp/PDF"
"Monetization","Subscription & Plans","https://tyresaathi-sudo.web.app/subscription","Production","Free, Silver & Gold dealer partner subscription plans"
"Master Control","Admin Super Dashboard","https://tyresaathi-sudo.web.app/admin","Protected","Manage all shops, users, billing records, tickets & Excel export"
"Customer Helpdesk","Support Tickets","https://tyresaathi-sudo.web.app/support","Production","Raise grievance tickets, track ticket status & admin replies"
"Legal & Compliance","Terms of Service & Privacy","https://tyresaathi-sudo.web.app/terms","Production","Store compliance policies, privacy policy & user terms"
